Datum (MEZ),Kernenergie,Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion
,Leistung (MW),Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2021-01-01T00:00+01:00,8137.75,22518.77,11561.2,50.87
2021-01-01T01:00+01:00,8151.15,21752.67,11117.17,48.19
2021-01-01T02:00+01:00,8156.56,21586.42,10576.51,44.68
2021-01-01T03:00+01:00,8145.62,21653.51,10255.56,42.92
2021-01-01T04:00+01:00,8154.61,21593.59,9784.79,40.39
2021-01-01T05:00+01:00,8156.89,21702.18,9566.1,40.2
2021-01-01T06:00+01:00,8155.03,22581.94,9516.16,39.63
2021-01-01T07:00+01:00,8152,21946.26,9358.34,40.09
2021-01-01T08:00+01:00,8155.29,22617.67,9521.37,41.27
2021-01-01T09:00+01:00,8160.18,22818.75,10322.72,44.88
2021-01-01T10:00+01:00,8163.67,23005.09,12063.27,45
2021-01-01T11:00+01:00,8166.33,22779.88,13409.69,47.2
2021-01-01T12:00+01:00,8152.81,23163.64,14144.68,50.78
2021-01-01T13:00+01:00,8154.33,23198.84,13744.65,45.49
2021-01-01T14:00+01:00,8153.3,23071.62,12546.89,44.73
2021-01-01T15:00+01:00,8157.72,23705.66,10746.74,46.59
2021-01-01T16:00+01:00,8152.22,24581.28,9867.76,52.99
2021-01-01T17:00+01:00,8151.43,25208.31,10686.35,60.26
2021-01-01T18:00+01:00,8151.04,25447.32,11276.78,60.61
2021-01-01T19:00+01:00,8155.23,25471.82,11808.69,60.36
2021-01-01T20:00+01:00,8152.97,25330.15,12258.19,57.4
2021-01-01T21:00+01:00,8150.06,24975.99,12093,53.86
2021-01-01T22:00+01:00,8146.31,24360.09,12624.86,53.45
2021-01-01T23:00+01:00,8144.41,23409.47,12582.18,49.72
2021-01-02T00:00+01:00,8065.17,21888.1,11973,46.69
2021-01-02T01:00+01:00,8127.82,21581.01,11772.16,42.43
2021-01-02T02:00+01:00,8104.8,20947.75,11625.96,41.09
2021-01-02T03:00+01:00,8105.5,20591.49,11505.99,40
2021-01-02T04:00+01:00,8126.04,20964.96,11384.32,37.55
2021-01-02T05:00+01:00,8140.47,21663.28,10931.87,39
2021-01-02T06:00+01:00,8131.9,22088.61,10884.63,42.09
2021-01-02T07:00+01:00,8120.87,23488.96,10775.15,44.96
2021-01-02T08:00+01:00,8076.41,24827.64,10406.18,48.45
2021-01-02T09:00+01:00,8146.61,26750.77,10584.32,52
2021-01-02T10:00+01:00,8152.52,27358.77,11228.44,52
2021-01-02T11:00+01:00,8154.05,27897.15,12055.75,52.15
2021-01-02T12:00+01:00,8154.83,27849.93,12384.98,55.95
2021-01-02T13:00+01:00,8157.94,27814.79,11850.51,52
2021-01-02T14:00+01:00,8155.12,27903.8,10687.55,50.69
2021-01-02T15:00+01:00,8154.94,27700.49,9637.9,53.45
2021-01-02T16:00+01:00,8153.09,27773.68,9225.3,59.99
2021-01-02T17:00+01:00,8156.41,28330.27,9756.22,62
2021-01-02T18:00+01:00,8154.64,28330.23,10675.88,63.08
2021-01-02T19:00+01:00,8146.98,28353.98,11519.35,62.17
2021-01-02T20:00+01:00,8147.55,28229.22,12100.13,60.03
2021-01-02T21:00+01:00,8142.06,27889.84,12553.66,55.03
2021-01-02T22:00+01:00,8143.54,27093.1,13275.41,52.25
2021-01-02T23:00+01:00,8133.45,24978.55,14457.5,48.45
2021-01-03T00:00+01:00,8050.94,22471.56,15994.19,46.11
2021-01-03T01:00+01:00,7861.12,20447.77,16727.13,43
2021-01-03T02:00+01:00,7576.18,19184.19,17888.27,39.55
2021-01-03T03:00+01:00,7582.08,18090.16,18925.43,35.18
2021-01-03T04:00+01:00,7618.05,17028.7,20094.89,33.45
2021-01-03T05:00+01:00,7633.96,16396.69,21763.38,32.37
2021-01-03T06:00+01:00,7513.64,16251.64,23427.39,31.7
2021-01-03T07:00+01:00,7679.35,16988.06,25079.3,32.63
2021-01-03T08:00+01:00,7551.63,18041.77,25726.42,36.9
2021-01-03T09:00+01:00,7525.61,19581.05,26580.22,36.96
2021-01-03T10:00+01:00,7571.82,19982.1,27663.73,36.96
2021-01-03T11:00+01:00,7565.71,21005.69,29181.52,43.72
2021-01-03T12:00+01:00,7565.04,21590.54,29484.62,47.71
2021-01-03T13:00+01:00,7569.58,21421.14,29467.78,40.41
2021-01-03T14:00+01:00,7576.31,20609.9,28899.66,39.66
2021-01-03T15:00+01:00,7581.91,20501.16,28414.93,39.57
2021-01-03T16:00+01:00,7579.67,20855.51,28308.26,36.11
2021-01-03T17:00+01:00,7583.06,21628.91,28465.03,45.04
2021-01-03T18:00+01:00,7588.45,21976.16,28371.16,52.56
2021-01-03T19:00+01:00,7596.24,22259.14,27595.6,45.84
2021-01-03T20:00+01:00,7588.73,21978.55,27341.57,35.83
2021-01-03T21:00+01:00,7583.77,21038.55,26456.14,33.31
2021-01-03T22:00+01:00,7590.97,20736.62,25018.36,34.98
2021-01-03T23:00+01:00,7587.04,19966.33,24695.38,27.39
2021-01-04T00:00+01:00,7591.08,19864.98,24221.6,29.33
2021-01-04T01:00+01:00,7591.39,20586.32,23798.72,24.82
2021-01-04T02:00+01:00,7563.7,21500.33,23654.95,24.65
2021-01-04T03:00+01:00,7563.67,21692.62,23460.46,24.8
2021-01-04T04:00+01:00,7566.95,21756.96,23152.11,27.71
2021-01-04T05:00+01:00,7570.25,22310.35,22890.52,28.58
2021-01-04T06:00+01:00,7573.85,26312.39,22937.7,37.04
2021-01-04T07:00+01:00,7567.37,31216.18,22878.16,52.03
2021-01-04T08:00+01:00,7574.51,33246.56,23023.81,55.76
2021-01-04T09:00+01:00,7588.69,33816.57,23471.83,57.06
2021-01-04T10:00+01:00,7586.51,34820.47,23738.72,57.18
2021-01-04T11:00+01:00,7572.28,35475.92,24165.66,60
2021-01-04T12:00+01:00,7565.41,35251.08,24604.7,61.27
2021-01-04T13:00+01:00,7566,35146.87,24257.53,60.28
2021-01-04T14:00+01:00,7565.87,35345.85,24160,60.07
2021-01-04T15:00+01:00,7562.4,36021.64,23880.42,59.46
2021-01-04T16:00+01:00,7555.86,36564.46,23471.19,61.99
2021-01-04T17:00+01:00,7563.68,36873.34,24014.86,66.82
2021-01-04T18:00+01:00,7563.01,36905.97,23802.21,61.97
2021-01-04T19:00+01:00,7565.48,36658.25,23777.34,55.06
2021-01-04T20:00+01:00,7569.21,36695.13,23311.63,47.34
2021-01-04T21:00+01:00,7564.06,35899.09,22832.9,45.64
2021-01-04T22:00+01:00,7567.12,34680.9,22224.84,48.93
2021-01-04T23:00+01:00,7563.3,33669.16,22053.69,44.64
