Dates,Production,Purchased,FeedIn,Consumption,SelfConsumption,Pred,data,Preis
2021-06-01 00:00:00,0.0,222.0,0.0,222.0,0.0,,Normal,86.65599999999999
2021-06-01 01:00:00,0.0,142.0,0.0,142.0,0.0,,Normal,83.008
2021-06-01 02:00:00,0.0,148.0,0.0,148.0,0.0,,Normal,80.08
2021-06-01 03:00:00,0.0,159.0,0.0,159.0,0.0,,Normal,79.756
2021-06-01 04:00:00,0.0,123.0,0.0,123.0,0.0,,Normal,80.62
2021-06-01 05:00:00,0.0,156.0,0.0,156.0,0.0,,Normal,86.67999999999999
2021-06-01 06:00:00,114.0,82.0,6.0,190.0,108.0,,Normal,107.068
2021-06-01 07:00:00,314.0,93.0,124.0,283.0,190.0,,Normal,115.22800000000001
2021-06-01 08:00:00,1270.0,0.0,1060.0,210.0,210.0,,Normal,116.8
2021-06-01 09:00:00,2697.0,0.0,2428.0,269.0,269.0,,Normal,106.12
2021-06-01 10:00:00,4018.0,0.0,3625.0,393.0,393.0,,Normal,90.22
2021-06-01 11:00:00,4996.0,0.0,4611.0,385.0,385.0,,Normal,85.6
2021-06-01 12:00:00,5235.0,0.0,4820.0,415.0,415.0,,Normal,82.036
2021-06-01 13:00:00,5393.0,0.0,4245.0,1148.0,1148.0,,Normal,79.624
2021-06-01 14:00:00,5173.0,0.0,4830.0,343.0,343.0,,Normal,78.75999999999999
2021-06-01 15:00:00,5114.0,0.0,4706.0,408.0,408.0,,Normal,80.57199999999999
2021-06-01 16:00:00,4391.0,0.0,3968.0,423.0,423.0,,Normal,82.036
2021-06-01 17:00:00,3147.0,0.0,2840.0,307.0,307.0,,Normal,96.976
2021-06-01 18:00:00,1678.0,0.0,1447.0,231.0,231.0,,Normal,107.512
2021-06-01 19:00:00,482.0,13.0,241.0,254.0,241.0,,Normal,116.32000000000001
2021-06-01 20:00:00,76.0,252.0,2.0,326.0,74.0,,Normal,114.448
2021-06-01 21:00:00,0.0,337.0,0.0,337.0,0.0,,Normal,108.88
2021-06-01 22:00:00,0.0,318.0,0.0,318.0,0.0,,Normal,102.652
2021-06-01 23:00:00,0.0,249.0,0.0,249.0,0.0,,Normal,92.776
2021-06-02 00:00:00,0.0,227.0,0.0,227.0,0.0,,Normal,90.28
2021-06-02 01:00:00,0.0,166.0,0.0,166.0,0.0,,Normal,85.92399999999999
2021-06-02 02:00:00,0.0,141.0,0.0,141.0,0.0,,Normal,83.29599999999999
2021-06-02 03:00:00,0.0,145.0,0.0,145.0,0.0,,Normal,84.28
2021-06-02 04:00:00,0.0,172.0,0.0,172.0,0.0,,Normal,84.148
2021-06-02 05:00:00,1.0,164.0,0.0,165.0,1.0,,Normal,88.732
2021-06-02 06:00:00,112.0,202.0,8.0,306.0,104.0,,Normal,106.46799999999999
2021-06-02 07:00:00,305.0,969.0,0.0,1274.0,305.0,,Normal,110.19999999999999
2021-06-02 08:00:00,1255.0,78.0,921.0,412.0,334.0,,Normal,109.62400000000001
2021-06-02 09:00:00,2701.0,0.0,2392.0,309.0,309.0,,Normal,99.08800000000001
